Lens ID,Title,External URL,status,error
107-081-420-972-648,Luminescence quenching of Ru(BIPY)32+ on clays with Cu 2+ and Fe (CN) 63-,https://www.persee.fr/doc/sgeol_0302-2684_1990_act_86_1_2127,200,
126-103-021-058-967,Building-integrated photovoltaics: A case study,http://ui.adsabs.harvard.edu/abs/1995STIN...9528396K/abstract,200,
074-792-606-052-431,ABSTRACT THE POTENTIAL ELECTRICITY GENERATING CAPACITY OF BIPV IN HONG KONG,http://ieeexplore.ieee.org/iel4/5262/14261/00654339.pdf,200,bad
175-764-043-109-61X,Photovoltaics (PV) - electricity from the sun,https://inis.iaea.org/Search/search.aspx?orig_q=RN:30021177,200,
002-925-836-276-814,The world's largest photovoltaic hotel roof project: A case study of the Mauna Lani Bay Hotel PowerGuard{reg_sign} system,http://www.osti.gov/scitech/biblio/20030574-world-largest-photovoltaic-hotel-roof-project-case-study-mauna-lani-bay-hotel-powerguard-reg_sign-system,200,
156-736-383-791-160,Technique for monitoring and predicting annual performance of a building integrated photovoltaic system,http://www.osti.gov/scitech/biblio/20030595-technique-monitoring-predicting-annual-performance-building-integrated-photovoltaic-system,200,
109-193-778-610-069,Design of a building-integrated photovoltaic system in Hong Kong,http://www.osti.gov/scitech/biblio/20030603,200,
125-756-872-379-496,Building integrated PV for commercial industry,http://www.osti.gov/scitech/biblio/5838484-building-integrated-pv-commercial-industry,200,
193-254-861-224-487,ON-SITE BlPV ARRAY SHADING EVALUATION TOOL US1 NG STEREO-FISH EY E PHOTOGRAPHS,http://ieeexplore.ieee.org/iel5/7320/19792/00916204.pdf,200,bad
089-034-661-940-652,Towards a CEmark for PV building integrated systems,https://www.narcis.nl/publication/RecordID/oai%3Apure.tue.nl%3Apublications%2Fc537e68c-612b-4272-9e6f-2c449d947a98,200,
129-692-156-550-796,Economics of Building Integrated PV in China,https://udspace.udel.edu/handle/19716/1087,200,
006-351-528-654-399,Considering Photovoltaic Technology as a part of the building material,https://www.witpress.com/elibrary/wit-transactions-on-ecology-and-the-environment/54/741,200,
026-520-539-999-034,Power generating behavior of thin-film silicon hybrid solar cell systems in Japan,http://ieeexplore.ieee.org/iel5/9136/28988/01305030.pdf,200,bad
171-565-044-613-562,BIPV installations worldwide in ASI/sup /spl reg// technology,http://ieeexplore.ieee.org/iel5/9136/28988/01305067.pdf,200,bad
186-945-946-637-132,CASE STUDIES FOR BUILDING INTEGRATED PHOTOVOLTAIC (BIPV) FACADES IN THE UNITED STATES,http://www.rio12.com/rio3/proceedings/RIO3_447_A_O_Pereira.pdf,200,bad
019-729-451-752-946,The importance of sensors in the determination of BIPV parameters and installation energy yield,https://eprints.soton.ac.uk/53831/,200,
189-462-693-354-275,Building integrated photovoltaics (BIPV) module design & experience in Japan,https://ieeexplore.ieee.org/iel5/9136/28993/01306340.pdf,200,bad
006-688-012-647-706,Building-integrated photovoltaic application - its practice in Hong Kong,https://ieeexplore.ieee.org/document/1305097/,200,
009-043-541-262-394,High performance ratios of a double-junction a-Si BIPV grid-connected installation after five years of continuous operation in Brazil,https://ieeexplore.ieee.org/document/1305014/,200,
009-062-879-834-795,Performance analysis of a grid-connected building integrated photovoltaic system,https://pure.ulster.ac.uk/en/publications/performance-analysis-of-a-grid-connected-building-integrated-phot-3,200,
059-598-484-401-732,Energy loss due to shading in a BIPV application,https://ieeexplore.ieee.org/document/1305026/,200,
199-776-723-754-101,Performance analysis and reliability of grid-connected PV systems in IEA countries,https://ieeexplore.ieee.org/document/1305009/,200,
110-921-654-802-438,Gebäudeintegrierte Photovoltaik auf der Basis von Dünnschichttechnologie,https://repository.uantwerpen.be/link/irua/143335,200,
025-595-474-587-812,"The Chinese Renewable Energy Law and BIPV's Introduction, Application and Development in China",http://lup.lub.lu.se/student-papers/record/1327642,200,
033-057-016-509-78X,Overview of building integrated photovoltaic (BIPV) systems in Hong Kong,http://ira.lib.polyu.edu.hk/handle/10397/1677,200,
003-231-931-625-517,Transparent amorphous silicon PV-facade as part of an integrated concept for the energetic rehabilitation of an office building in Barcelona,https://upcommons.upc.edu/handle/2117/604,200,
189-656-935-471-77X,Potential of building-integrated photovoltaic applications,https://research.polyu.edu.hk/en/publications/potential-of-building-integrated-photovoltaic-applications,200,
128-733-151-734-109,A critical appraisal of the added value of BiPV in atria,https://eprints.soton.ac.uk/53815/,200,
073-613-416-382-496,Can PV or solar thermal systems be cost effective ways of reducing CO 2 emissions for residential buildings,http://discovery.ucl.ac.uk/2642/,200,
001-459-720-371-500,"PV in Buildings - Analysis, Design & Case Study",http://www.diva-portal.org/smash/record.jsf?pid=diva2:518298,200,
112-854-405-328-515,Application of the Hottel-Whillier equations to the analysis of a building integrated photovoltaic/thermal solar collector,http://dro.deakin.edu.au/view/DU:30023082,200,
126-616-585-518-440,Centre for Interactive Research on Sustainability : integration of PV,https://www.osti.gov/etdeweb/biblio/20945223,200,
118-234-005-097-552,Improved electrical efficiency by active cooling of building integrated photovoltaic panels,https://researchcommons.waikato.ac.nz/handle/10289/3670,200,
105-091-493-350-424,ANALYSIS OF A PHOTOVOLTAIC/THERMAL SOLAR COLLECTOR FOR BUILDING INTEGRATION,https://researchcommons.waikato.ac.nz/handle/10289/3668,200,
003-465-178-495-565,Development of a building integrated photovoltaic/thermal solar collector based on steel roofing,http://dro.deakin.edu.au/view/DU:30023081,200,
077-883-388-235-40X,BIPV Education Initiative the Mackintosh School of Architecture,http://radar.gsa.ac.uk/1275/,200,
192-221-436-807-828,EXPERIMENTAL PERFORMANCE OF WATER COOLED BUILDING INTEGRATED PHOTOVOLTAIC/THERMAL SOLAR COLLECTORS,https://researchcommons.waikato.ac.nz/handle/10289/3669,200,
196-742-827-443-610,Maximum power extraction from partially shaded PV arrays,https://eprints.qut.edu.au/80508/,200,
077-227-088-210-061,Development of a building integrated photovoltaic/thermal solar energy cogeneration system,http://dro.deakin.edu.au/view/DU:30023080,200,
162-858-962-451-622,Designing photovolaic/thermal solar collectors for building integration,http://dro.deakin.edu.au/view/DU:30023004,200,
063-302-957-284-265,SIMULATION OF THE PERFORMANCE OF A BIPV/T SYSTEM COUPLED TO A HEAT PUMP IN A RESIDENTIAL HEATING APPLICATION,https://iifiir.org/en/fridoc/25902,200,
038-454-108-128-344,Starting Points for a New Cultural Vision of BIPV,https://www.eupvsec-proceedings.com/proceedings?paper=3813,200,
013-254-953-892-872,Getting to a Net Zero Energy Lifestyle in Canada: The Alstonvale Net Zero Energy House,https://www.eupvsec-proceedings.com/proceedings?paper=3220,200,
005-753-901-544-530,Physical Building Information Modeling for Solar Building Design and Simulation – Annual Report 2010,https://oaktrust.library.tamu.edu/handle/1969.1/152090,200,
009-199-123-981-581,THE BEST ARCHITECTURAL FORM FOR BIPV IN TEHRAN,http://en.journals.sid.ir/ViewPaper.aspx?ID=243367,200,
028-050-170-988-78X,Experimental Study of Mixed Convection Heat Transfer in Building Integrated Photovoltaic/Thermal Systems,https://docs.lib.purdue.edu/ihpbc/25/,200,
055-800-232-663-024,Thermal modeling and design optimisation of compact building integrated photovoltaic (BIPV) facades for application at the University of Technology Sydney (UTS),https://repository.up.ac.za/handle/2263/44441,200,
117-481-851-437-706,Façade evaluation facility,https://digitalscholarship.unlv.edu/nvrec/2010/aug20/10/,200,
138-486-686-609-504,Integration of pv modules in existing romanian buildings from rural areas,http://www.csbe-scgab.ca/docs/meetings/2010/CSBE101661.pdf,200,bad
098-330-823-043-608,Simulation of amorphous and crystalline silicon based photovoltaic thermal system,https://dl.acm.org/citation.cfm?id=1864079,200,
191-000-372-486-619,Building integration photovoltaic module with reference to Ghana: using triple junction amorphous silicon,http://centaur.reading.ac.uk/16575/,200,
112-692-609-143-142,The impact of heat emission system on the grid-interaction of building integrated photovoltaics in low-energy dwellings,https://lirias.kuleuven.be/bitstream/123456789/286201/2/2010+SSB+Baetens+et+al++_+Comp+study+on+the+impact+of+the+low-temperature+heat+emission+system.pdf,200,bad
185-504-483-388-247,The impact of domestic load profiles on the grid-interaction of building integrated photovoltaic (BIPV) systems in extremely low-energy dwellings,https://lirias.kuleuven.be/bitstream/123456789/267004/2/2010+RERC+Baetens+DeConinck+Helsen+Saelens+_+The+impact+of+domestic+load+profiles+on+the+grid-interaction+of+BIPV+systems+in+extremely+low-energy+dwellings.pdf,200,bad
013-935-124-717-851,A pilot study of the building integrated photovoltaic thermal (BIPVT) collector for commercial applications in Malaysia,http://dl.acm.org/citation.cfm?id=2046174.2046198,200,
067-016-706-035-852,Development of a low cost photovoltaic/thermal solar concentrator for building integration (BIPVTC),https://openrepository.aut.ac.nz/handle/10292/3013,200,
187-349-345-581-394,Life cycle cost analysis of silicon and organic building integrated photovoltaic systems (BiPV),http://dro.deakin.edu.au/view/DU:30042326,200,
187-597-956-599-457,Two Phase Change Material with Different Closed Shape Fins in Building Integrated Photovoltaic System Temperature Regulation,https://pure.ulster.ac.uk/en/publications/two-phase-change-material-with-different-closed-shape-fins-in-bui-3,200,
127-934-685-408-361,"A Combined Optical, Thermal and Electrical Performance Model of a Building Integrated Photovoltaic/Thermal Concentrator (BIPVTC)",https://researchcommons.waikato.ac.nz/handle/10289/6321,200,
180-797-054-542-242,Integrated Renewable Energy Infrastructure - Challenges And Opportunities,http://www.thinkmind.org/index.php?view=article&articleid=energy_2011_3_30_50197,200,
003-339-728-900-119,Industry Aspirations for Building Integrated Photovoltaic Thermal Heat Recovery Systems,http://radar.gsa.ac.uk/2587/,200,
124-330-732-927-775,INTEGRATED DYNAMIC ELECTRIC AND THERMAL SIMULATIONS FOR A RESIDENTIAL NEIGHBORHOOD: SENSITIVITY TO TIME RESOLUTION OF BOUNDARY CONDITIONS,https://lirias.kuleuven.be/bitstream/123456789/314058/3/P_1567.pdf,200,bad
126-747-170-940-105,Optimised Concentrator for the Solar Photonic Optoelectronic Transformer System: First Optimisation Stage,https://researchonline.gcu.ac.uk/en/publications/optimised-concentrator-for-the-solar-photonic-optoelectronic-tran-2,200,
197-482-470-888-593,Comfort and building performance analysis of transparent building integrated silicon photovoltaics,https://repository.supsi.ch/2469/,200,
131-075-076-225-895,Building-Integrated Photovoltaics (BIPV) in the Residential Section: An Analysis of Installed Rooftop Prices (Presentation),http://www.osti.gov/scitech/servlets/purl/1045053,200,
176-134-391-882-852,Alternatives control strategies for Building Integrated Photovoltaic/Thermal (BIPVT) system,https://openrepository.aut.ac.nz/handle/10292/5288,200,
195-455-045-737-771,Combine the thermal model to analyze the building integrated photovoltaic array performance,http://www.ipcsit.com/vol38/001-IEEA2012-A00015.pdf,200,bad
005-263-579-869-772,Comfort performance studies on façade-integrated BIPV.,https://iifiir.org/fr/fridoc/28896,200,
042-776-756-958-625,Mitigating climate change through renewable energy and energy efficiency in the residential sector in South Africa,"http://www.ijretr.org/VOL.%202,%20NO.%201,%20January%202013/Mitigating%20climate%20change%20through%20renewable%20energy%20and%20energy%20efficiency%20in%20the%20residential%20sector%20in%20South%20Africa.pdf",200,bad
190-578-161-816-344,Performance of BIPV Systems under Shadows,http://ipcsit.com/vol38/006-IEEA2012-A00022.pdf,200,bad
090-244-065-345-479,Investigation of performance enhancement of a building integrated photovoltaic thermal system,http://www.solarbuildings.ca/documents/Investigation_of_performance_enhancement_of_a_building_integrated_photovoltaic_thermal_system.pdf,200,bad
150-097-720-668-328,Natural dye-sensitized solar cell based on nanocrystalline TiO2,http://journalarticle.ukm.my/5423/,200,
000-551-288-610-538,"Modeling energy performance of a home heating system, with three config / Photo Vltayy into building","https://textroad.com/pdf/JBASR/J.%20Basic.%20Appl.%20Sci.%20Res.,%203(2s)689-697,%202013.pdf",200,bad
012-996-778-013-063,"Evaluation of Building Integrated Photovoltaic Systems' Potential in the Industrial Sector: Case Study of Oinofyta-Viotia Zone, Greece",http://www.davidpublishing.com/davidpublishing/Upfile/1/15/2014/2014011501596484.pdf,200,bad
023-920-067-322-757,"Comparative analysis of two cases of RES-integrated energy refurbishment, high-rise and low-rise prefabricated residential building",http://upcommons.upc.edu/handle/2117/22832,200,
024-427-952-883-239,"Design, development and construction of an outdoor testing facility for semi-transparent photovoltaic modules",http://oa.upm.es/32249/,200,
068-243-793-432-00X,Simulation on Natural Ventilation of BIPV Claddings,http://www.tandfonline.com/doi/pdf/10.1080/1023697X.1999.10667796,200,
071-314-642-006-103,Metrology for in process metrology for roll to roll production of flexible photovoltaics,http://eprints.hud.ac.uk/id/eprint/18283/,200,
095-072-331-036-905,Recharging the facade : designing and constructingnovel BIPV assemblies; Building Integrated Photovoltaicsassemblies,https://oatd.org/oatd/record?record=handle\:1721.1\%2F81661,200,
100-267-593-544-917,Energy saving evaluation of the ventilated BIPV walls,https://researchoutput.ncku.edu.tw/en/publications/energy-saving-evaluation-of-the-ventilated-bipv-walls-2,200,
105-029-474-352-478,Implementation of a BIPV plant at Centro de Tecnologia Informação Renato Archer,https://purl.utwente.nl/essays/69341,200,
124-307-784-931-623,"RES integrated refurbishment of prefabricated building in Belgrade, Serbia",https://upcommons.upc.edu/handle/2117/26877,200,
148-297-702-595-895,BiPV and Refurbishment of minor historical centers,http://repository.supsi.ch/4785/,200,
141-736-406-514-699,From BIPV to Multifunctional Building Component,https://repository.supsi.ch/3065/,200,
173-668-980-691-138,ECONOMIC ASSESSMENT OF THE USE OF SOLAR ENERGY IN KUWAIT,https://ideas.repec.org/a/ibf/gjbres/v7y2013i2p73-82.html,200,
085-406-065-003-995,Electricity yield simulation of complex BIPV systems,https://repository.tudelft.nl/islandora/object/uuid%3A3bd97b56-3edb-4071-8d5e-fe901b9d6e23,200,
033-916-820-174-282,"Renovation of a residential building in Switzerland, with BIPV façades, in order to achieve the nZEB standard",https://repository.supsi.ch/5584/,200,
040-234-007-840-823,Modeling and predictive control of high performance buildings with distributed energy generation and thermal storage.,https://docs.lib.purdue.edu/ihpbc/161/,200,
051-450-245-777-300,Building Integrated Photovoltaic Systems: specific non-idealities from solar cell to grid,http://porto.polito.it/2538891/,200,
096-745-059-039-700,"Performance Monitoring and Evaluation of a CIGS Roof-Integrated Photovoltaic System under the Unique Tropical Environment of Darwin, Northern Territory",https://espace.cdu.edu.au/view/cdu:49512,200,
140-361-075-130-177,"Innovative BIPV rooftops: development, realization, and monitoring of 2 BIPV field tests in the Netherlands",https://www.narcis.nl/publication/RecordID/oai%3Apure.tue.nl%3Apublications%2F6f4c5973-104c-4249-b9b6-212f7dc1dd6e,200,
147-793-296-415-33X,Thermal Response of Building Integrated Photovoltaic Systems: Analysis of Monitoring Data from Installations at Three Sites in Europe,https://hal.archives-ouvertes.fr/hal-01272785,200,
165-508-619-719-782,"Assessment of Output Power from Photovoltaic Panels in the City of Kirkuk, Iraq",http://www.isesco.org.ma/ISESCO_Technology_Vision/NUM17/doc/2.pdf,200,bad
173-341-399-944-117,The BIPV Research Facility ‘SolarBEAT’ in the Netherlands,https://www.narcis.nl/publication/RecordID/oai%3Atudelft.nl%3Auuid%3Addde8c13-cc59-4081-97a1-608a49b69fbc,200,
184-961-148-586-809,Perspectives on the specification of Building Integrated Photovoltaic (BIPV) technology in construction projects,http://centaur.reading.ac.uk/44653/,200,
021-910-483-650-360,Automatic fault detection on BIPV systems without solar irradiation data,https://www.eupvsec-proceedings.com/proceedings?paper=30612,200,
087-151-465-363-026,BiPV in a multicriteria assessment of building envelope solutions-Considerations on economic aspects,https://repository.supsi.ch/5747/,200,
121-731-580-021-701,Outdoor characterization of three PV architectures under clear and shaded conditions,https://www.narcis.nl/publication/RecordID/oai%3Atudelft.nl%3Auuid%3Ae7248618-d781-4156-b932-b6e4c02b5788,200,
001-534-239-976-703,Equipment and Procedures for on-Site Testing of PV Plants and BIPV,http://oa.upm.es/36666/,200,
127-276-050-608-456,PV and Façade Systems for the Building Skin. Analysis of Design Effectiveness and Technological Features,https://www.eupvsec-proceedings.com/proceedings?paper=29037,200,
